"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"DE","T","Y40","2011","1141652","",""
"DE","T","Y41","2011","1205105","",""
"DE","T","Y42","2011","1290214","",""
"DE","T","Y43","2011","1346088","",""
"DE","T","Y44","2011","1368130","",""
"DE","T","Y45","2011","1395284","",""
"DE","T","Y46","2011","1416669","",""
"DE","T","Y47","2011","1430141","",""
"DE","T","Y48","2011","1396458","",""
"DE","T","Y49","2011","1361127","",""
"DE","T","Y5","2011","670811","",""
"DE","T","Y50","2011","1326838","",""
"DE","T","Y51","2011","1293551","",""
"DE","T","Y52","2011","1234025","",""
"DE","T","Y53","2011","1197904","",""
"DE","T","Y54","2011","1153976","",""
"DE","T","Y55","2011","1132327","",""
"DE","T","Y56","2011","1106678","",""
"DE","T","Y57","2011","1069104","",""
"DE","T","Y58","2011","1057734","",""
"DE","T","Y59","2011","1053607","",""
"DE","T","Y6","2011","703690","",""
"DE","T","Y60","2011","1026769","",""
"DE","T","Y61","2011","1022100","",""
"DE","T","Y62","2011","952221","",""
"DE","T","Y63","2011","865631","",""
"DE","T","Y64","2011","836094","",""
"DE","T","Y65","2011","605927","",""
"DE","T","Y66","2011","799516","",""
"DE","T","Y67","2011","902796","",""
"DE","T","Y68","2011","861109","",""
"DE","T","Y69","2011","1004003","",""
"DE","T","Y7","2011","706619","",""
"DE","T","Y70","2011","990423","",""
"DE","T","Y71","2011","1097279","",""
"DE","T","Y72","2011","997178","",""
"DE","T","Y73","2011","914873","",""
"DE","T","Y74","2011","861486","",""
"DE","T","Y75","2011","811493","",""
"DE","T","Y76","2011","772418","",""
"DE","T","Y77","2011","604799","",""
"DE","T","Y78","2011","544174","",""
"DE","T","Y79","2011","537399","",""
"DE","T","Y8","2011","712023","",""
"DE","T","Y80","2011","536353","",""
"DE","T","Y81","2011","511847","",""
"DE","T","Y82","2011","475503","",""
"DE","T","Y83","2011","424552","",""
"DE","T","Y84","2011","379828","",""
"DE","T","Y85","2011","346065","",""
"DE","T","Y86","2011","302287","",""
"DE","T","Y87","2011","254206","",""
"DE","T","Y88","2011","228373","",""
"DE","T","Y89","2011","204145","",""
"DE","T","Y9","2011","732687","",""
"DE","T","Y90","2011","169319","",""
"DE","T","Y91","2011","133114","",""
"DE","T","Y92","2011","54758","",""
"DE","T","Y93","2011","39671","",""
"DE","T","Y94","2011","33738","",""
"DE","T","Y95","2011","28246","",""
"DE","T","Y96","2011","31393","",""
"DE","T","Y97","2011","22158","",""
"DE","T","Y98","2011","14750","",""
"DE","T","Y99","2011","9497","",""
"DE","T","Y_GE100","2011","13445","",""
"DE","T","Y_LT1","2011","656150","",""
"DK","T","Y1","2011","63665","",""
"DK","T","Y10","2011","67954","",""
"DK","T","Y11","2011","67323","",""
"DK","T","Y12","2011","67624","",""
"DK","T","Y13","2011","69181","",""
"DK","T","Y14","2011","69643","",""
"DK","T","Y15","2011","72310","",""
"DK","T","Y16","2011","73020","",""
"DK","T","Y17","2011","70615","",""
"DK","T","Y18","2011","71376","",""
"DK","T","Y19","2011","69145","",""
"DK","T","Y2","2011","66235","",""
"DK","T","Y20","2011","69776","",""
"DK","T","Y21","2011","68877","",""
"DK","T","Y22","2011","67544","",""
"DK","T","Y23","2011","65672","",""
"DK","T","Y24","2011","65590","",""
"DK","T","Y25","2011","63940","",""
"DK","T","Y26","2011","61909","",""
"DK","T","Y27","2011","61038","",""
"DK","T","Y28","2011","62438","",""
"DK","T","Y29","2011","62223","",""
"DK","T","Y3","2011","65406","",""
"DK","T","Y30","2011","65884","",""
"DK","T","Y31","2011","67084","",""
"DK","T","Y32","2011","69120","",""
"DK","T","Y33","2011","68830","",""
"DK","T","Y34","2011","71675","",""
"DK","T","Y35","2011","77639","",""
"DK","T","Y36","2011","76523","",""
"DK","T","Y37","2011","76594","",""
"DK","T","Y38","2011","79924","",""
"DK","T","Y39","2011","79108","",""
"DK","T","Y4","2011","66450","",""
"DK","T","Y40","2011","75808","",""
"DK","T","Y41","2011","75621","",""
"DK","T","Y42","2011","78221","",""
"DK","T","Y43","2011","83770","",""
"DK","T","Y44","2011","89886","",""
"DK","T","Y45","2011","86958","",""
"DK","T","Y46","2011","84977","",""
"DK","T","Y47","2011","83134","",""
"DK","T","Y48","2011","78571","",""
"DK","T","Y49","2011","76264","",""
"DK","T","Y5","2011","65532","",""
"DK","T","Y50","2011","76131","",""
"DK","T","Y51","2011","72913","",""
"DK","T","Y52","2011","72997","",""
"DK","T","Y53","2011","72401","",""
"DK","T","Y54","2011","72783","",""
"DK","T","Y55","2011","71575","",""
"DK","T","Y56","2011","69951","",""
"DK","T","Y57","2011","70850","",""
"DK","T","Y58","2011","69330","",""
"DK","T","Y59","2011","67837","",""
"DK","T","Y6","2011","65647","",""
"DK","T","Y60","2011","69625","",""
"DK","T","Y61","2011","68813","",""
"DK","T","Y62","2011","71844","",""
"DK","T","Y63","2011","75897","",""
"DK","T","Y64","2011","77749","",""
"DK","T","Y65","2011","74373","",""
"DK","T","Y66","2011","69839","",""
"DK","T","Y67","2011","63593","",""
"DK","T","Y68","2011","59128","",""
"DK","T","Y69","2011","51864","",""
"DK","T","Y7","2011","65583","",""
"DK","T","Y70","2011","49726","",""
"DK","T","Y71","2011","46545","",""
"DK","T","Y72","2011","45251","",""
"DK","T","Y73","2011","42517","",""
"DK","T","Y74","2011","39807","",""
"DK","T","Y75","2011","36966","",""
"DK","T","Y76","2011","34877","",""
"DK","T","Y77","2011","32086","",""
"DK","T","Y78","2011","30353","",""
"DK","T","Y79","2011","28351","",""
"DK","T","Y8","2011","65039","",""
"DK","T","Y80","2011","26778","",""
"DK","T","Y81","2011","24974","",""
"DK","T","Y82","2011","23830","",""
"DK","T","Y83","2011","21446","",""
"DK","T","Y84","2011","20161","",""
"DK","T","Y85","2011","18298","",""
"DK","T","Y86","2011","16651","",""
"DK","T","Y87","2011","14520","",""
"DK","T","Y88","2011","12168","",""
"DK","T","Y89","2011","11313","",""
"DK","T","Y9","2011","66066","",""
"DK","T","Y90","2011","9684","",""
"DK","T","Y91","2011","6891","",""
